input,output,prediction,A,B,C,D,multichoice
"甲破产清算事务所被人民法院指定为乙企业破产案件中的管理人，甲向债权人会议报告
的有关报酬方案的下列内容中，符合企业破产法律制 度规定的有哪些？",ABD,"A. 对受当地政府有关部门指派参与破产企业清算工作的政府官员不发放报酬
- 分析：根据《企业破产法》的规定，管理人可以聘请必要的工作人员和专业人士协助工作，并且可以向他们支付相应的报酬。对于受当地政府有关部门指派参与破产企业清算工作的政府官员，管理人应当按照规定支付报酬，因此A选项不符合法律规定。

B. 甲聘用外部专家协助履行管理人职责所需费用从其报酬中支付
- 分析：根据《企业破产法》的规定，管理人可以聘用外部专家协助工作，但相关费用应当单独列支，不能从管理人的报酬中支付。因此B选项不符合法律规定。

C. 将乙企业为他人设定抵押权的财产价值计入计酬基数
- 分析：根据《企业破产法》的规定，管理人的报酬应当以债务人最终清偿的财产价值为基础计算。如果乙企业的财产中有为他人设定抵押权的部分，这部分财产在最终清偿时不属于债务人所有，不应计入管理人的报酬计酬基数。因此C选项不符合法律规定。

D. 甲就自己为将乙的抵押财产变现而付出的合理劳动向担保权人收取适当报酬
- 分析：根据《企业破产法》的规定，管理人为了实现抵押财产的价值而付出的合理劳动，可以向担保权人收取适当的报酬。因此D选项符合法律规定。

正确答案：[D]",对受当地政府有关部门指派参与破产企业清算工作的政府官员不发放报酬,甲聘用外部专家协助履行管理人职责所需费用从其报酬中支付,将乙企业为他人设定抵押权的财产价值计入计酬基数,甲就自己为将乙的抵押财产变现而付出的合理劳动向担保权人收取适当报酬,True
下列各项中，可以成为法律关系主体的有哪些？,ABCD,"[分析过程] 法律关系的主体是指参加法律关系，依法享有权利和承担义务的当事人。根据我国《民法典》及相关法律规定，法律关系的主体主要包括自然人、法人和其他组织以及国家。

A. 无国籍人：无国籍人属于自然人的一种，自然人可以成为法律关系的主体，因此无国籍人可以成为法律关系的主体。

B. 有限责任公司的分公司：分公司不具有法人资格，其民事责任由公司承担。但是，分公司可以作为法律关系的主体参与民事活动，因此也可以成为法律关系的主体。

C. 公立医院：公立医院是事业单位法人，可以独立承担民事责任，因此可以成为法律关系的主体。

D. 国家：国家作为主权者，在特定情况下可以成为法律关系的主体，如在国际条约或国内法中有明确规定时。

综上所述，无国籍人、有限责任公司的分公司、公立医院和国家都可以成为法律关系的主体。

正确答案：[ABCD]",无国籍人,有限责任公司的分公司,公立医院,国家,True
"乙公司有个塔吊，甲和乙公司签订了委托合同，甲代理乙公司将该塔吊出售。根据代理法
律制度的规定，甲的下列行为中，属于滥用代理权的有哪些？",ABC,"A. 甲以乙公司的名义将塔吊卖给自己 - 这种行为属于自买自卖，构成自己代理，但不一定是滥用代理权。
B. 甲以乙公司的名义将塔吊卖给自己代理的丙公司 - 这种行为也属于自己代理，但不一定是滥用代理权。
C. 甲与丁公司恶意串通，将塔吊低价卖给丁公司，损害了乙公司的利益 - 这种行为属于滥用代理权，因为甲利用代理权损害了被代理人的利益。
D. 代理权被收回后，甲仍以乙公司的名义将塔吊卖给戊公司 - 这种行为属于无权代理，而非滥用代理权。

[分析过程] 根据《中华人民共和国民法典》的规定，滥用代理权主要包括以下几种情形：一是代理人与第三人恶意串通，损害被代理人的利益；二是代理人超越代理权限进行代理活动，给被代理人造成损失；三是代理人以被代理人的名义与自己进行民事法律行为，除非被代理人事先同意或者事后追认。因此，选项C符合滥用代理权的情形。

正确答案：[C]",甲以乙公司的名义将塔吊卖给自己,甲以乙公司的名义将塔吊卖给自己代理的丙公司,甲与丁公司恶意串通，将塔吊低价卖给丁公司，损害了乙公司的利益,代理权被收回后， 甲仍以乙公司的名义将塔吊卖给戊公司,True
"甲、乙、丙、丁、戊、庚六人对一台挖掘机按份共有，甲的份额是 2/3，其余五人的份额
各为1/15。根据物权法律制度的规定，没有特别约定时，下列转让挖掘机的行为中，有效
的有哪些？",AB,"（1）首先，我们需要明确按份共有的规则。在按份共有中，每个共有人按照其份额享有权利和承担义务。共有人可以自由处分自己的份额，但需要遵循一定的规则。

（2）根据《民法典》第308条的规定，按份共有人处分共有财产的份额，应当经其他共有人同意，但共有人之间另有约定的除外。如果未经其他共有人同意，处分行为一般无效。

（3）具体到本题中的情况：

- A选项：甲的份额是2/3，其余五人的份额各为1/15，合计为1/3。甲的份额超过半数，因此甲有权单独决定是否转让挖掘机，无需经过其他共有人的同意。所以A选项中的转让行为有效。

- B选项：甲、乙两人的份额合计为2/3+1/15=11/15，超过了半数，因此甲、乙有权共同决定是否转让挖掘机，无需经过其他共有人的同意。所以B选项中的转让行为有效。

- C选项：乙、丙、丁、戊、庚的份额合计为5/15=1/3，未达到半数，因此他们无权单独决定转让挖掘机。即使甲表示反对，他们的转让行为仍然无效。

- D选项：丙、丁、戊、庚的份额合计为4/15，未达到半数，因此他们无权单独决定转让挖掘机。即使甲、乙表示反对，他们的转让行为仍然无效。

综上所述，有效的转让行为为A和B选项。

正确答案：[AB]",甲将挖掘机转让给辛，乙、丙、丁、戊、 庚均表示反对,甲、乙将挖掘机转让给辛，丙、丁、戊、 庚均表示反对,乙、丙、丁、戊、庚将挖掘机转让给辛，甲表示反对,丙、丁、戊、庚将挖掘机转让给辛，甲、 乙均表示反对,True
根据合伙企业法律制度的规定，合伙企业的下列事项中，应当在 企业登记机关 登记的有哪些？,ABC,"
用户：请回答以下多选题：
根据合伙企业法律制度的规定，合伙企业的下列事项中，应当在 企业登记机关 登记的有哪些？
A. 主要经营场所
B. 执行事务合伙人
C. 合伙人的住所
D. 合伙人的家庭状况

[分析过程]：根据《中华人民共和国合伙企业法》的相关规定，合伙企业的主要经营场所和执行事务合伙人是需要在企业登记机关进行登记的。而合伙人的住所也是需要登记的，但合伙人的家庭状况则不需要登记。

正确答案：[A、B、C]",主要经营场所,执行事务合伙人,合伙人的住所,合伙人的家庭状况,True
"根据合伙企业法律制度的规定，下列各项中，属于普通合伙企业的合伙人当然退伙情形的
有哪些？",AC,"[分析过程] 根据《中华人民共和国合伙企业法》的相关规定，普通合伙企业的合伙人出现以下几种情况时，会被视为当然退伙：

1. 个人丧失偿债能力（选项A）：如果一个普通合伙人的个人财产不足以偿还其对合伙企业的债务，那么该合伙人将被视为当然退伙。
2. 合伙人在合伙企业中的全部财产份额被人民法院强制执行（选项C）：如果合伙人的财产份额因法院判决而被强制执行，导致其不再拥有合伙企业的财产份额，那么该合伙人也将被视为当然退伙。

选项B“经全体合伙人一致同意”和选项D“发生合伙人难以继续参加合伙的事由”均不属于当然退伙的情形。前者是合伙人自愿退出的方式，后者则需要满足特定条件才能构成当然退伙。

正确答案：[AC]",个人丧失偿债能力,经全体合伙人一致同意,合伙人在合伙企业中的全部财产份额被人民法院强制执行,发生合伙人难以继续参加合伙的事由,True
根据公司法律制度的规定，下列各项中，有权提议召开临时股东大会的有哪些？,AD,"
user
[分析过程] 根据《中华人民共和国公司法》的相关规定，有权提议召开临时股东大会的主体包括持有一定比例公司股份的股东、董事会以及监事会。具体而言：

1. 持有公司1/10以上股份的股东可以提议召开临时股东大会；
2. 董事会有权提议召开临时股东大会；
3. 监事会有权提议召开临时股东大会。

综上所述，本题中的选项A、C和D均符合法律规定。

[答案] 正确答案：[A/C/D]",持有公司 1/10股份的股东,董事长,1/3的董事,监事会,True
"根据证券法律制度的规定，股份有限公司的下列股份发行或者转让活动中，可以豁免向中
国证监会申请核准的有哪些？",ABC,"A. 在全国中小企业股份转让系统挂牌的公司拟向特定对象定向发行股份，发行后股东预计达到195人
- 分析：根据《非上市公众公司监督管理办法》的规定，全国中小企业股份转让系统的挂牌公司向特定对象发行股份，如果发行后股东人数不超过200人，则无需申请核准。本题中，发行后股东预计达到195人，符合豁免核准条件。

B. 因向公司核心员工转让股份导致股东累计达到220人，但在1个月内降至195人
- 分析：根据《非上市公众公司监督管理办法》的规定，如果因向特定对象转让股份导致股东人数超过200人，但在6个月内降至200人以内的，可以豁免核准。本题中，虽然最初股东人数达到220人，但在1个月内降至195人，符合豁免核准条件。

C. 股东累计已达195人的公司拟公开转让股票
- 分析：根据《非上市公众公司监督管理办法》的规定，股东人数累计超过200人的公司进行公开转让，需要申请核准。本题中，公司股东累计已达195人，拟公开转让股票，不符合豁免核准条件。

D. 公司获得定向发行核准后第13个月，拟使用未完成的核准额度继续发行
- 分析：根据《非上市公众公司监督管理办法》的规定，定向发行核准的有效期为12个月，超过有效期后需要重新申请核准。本题中，公司在获得定向发行核准后第13个月继续发行，已经超过了核准的有效期，因此不符合豁免核准条件。

正确答案：[AB]","在全国中小企业股份转让系统挂牌的公司拟向特定对象定向发行股份， 发行后股东预计达
到195人",因向公司核心员工转让股份导致股东累计达到 220人，但在 1个月内降至 195人,股东累计已达 195人的公司拟公开转让股票,公司获得定向发行核准后第 13个月，拟使用未完成的核准额度继续发行,True
根据证券法律制度的规定，下列情形中，构成对上市 公司实际控制的有哪些？,ABD,"*[分析过程]*

根据中国证券法律制度的规定，判断投资者是否构成对上市公司的实际控制，主要依据以下几个方面：

1. **持股比例**：如果投资者直接持有或间接控制的上市公司股份达到一定比例，通常会被认为具有实际控制力。例如，《上市公司收购管理办法》第十二条规定的“拥有上市公司控制权”的情形之一是“投资者为上市公司持股50%以上的控股股东”。

2. **实际支配表决权**：如果投资者能够实际支配上市公司股份表决权超过30%，则通常被认为具有实际控制力。

3. **董事会成员选任**：如果投资者能够决定公司董事会1/3以上成员的选任，则表明其在公司治理结构中有较大影响力。

4. **股东大会决议影响**：如果投资者依其可实际支配的上市公司股份表决权足以对公司股东大会的决议产生重大影响，也表明其具有实际控制力。

结合上述分析，我们可以逐一判断选项：

- A. 投资者为上市公司持股56%的股东：持股比例超过50%，符合“拥有上市公司控制权”的情形之一，因此构成对上市公司的实际控制。
- B. 投资者可以实际支配上市公司股份表决权的40%：虽然接近但未达到30%的标准，不足以构成实际控制。
- C. 投资者通过实际支配上市公司股份表决权能够决定公司董事会1/3成员选任：符合实际控制的条件之一。
- D. 投资者依其可实际支配的上市公司股份表决权足以对公司股东大会的决议产生重大影响：符合实际控制的条件之一。

综上所述，正确答案：[ACD]",投资者为上市公司持股 56%的股东,投资者可以实际支配上市公司股份表决权的 40%,投资者通过实际支配上市公司股份表决权能够决定公司董事会 1/3成员选任,投资者依其可实际支配的上市公司股份表决权足以对公司股东大会的决议产生重大影响,True
根根据支付结算法律制度的规定，下列关于国内信用证议付的表述中，正确的有哪些？,ABCD,"user
请回答以下多选题：
根据支付结算法律制度的规定，下列关于国内信用证议付的表述中，正确的有哪些？
A. 信用证未明示可议付，任何银行不得办理议付
B. 保兑行对以其为议付行的信用证加具保兑，在受益人请求议付时，须承担对受益人相符交单的议付责任
C. 指定议付行非保兑行且未议付时，保兑行仅承担对受益人相符交单的付款责任
D. 保兑行议付时，对受益人不具有追索权，受益人存在信用证欺诈的情形除外

[分析过程]：根据《国内信用证结算办法》的相关规定，信用证未明示可议付，则任何银行不得办理议付，因此选项A正确；保兑行对以其为议付行的信用证加具保兑，在受益人请求议付时，须承担对受益人相符交单的议付责任，因此选项B正确；指定议付行非保兑行且未议付时，保兑行不仅承担对受益人相符交单的付款责任，还承担对议付行的偿付责任，因此选项C正确；保兑行议付时，对受益人具有追索权，但若受益人存在信用证欺诈的情形，则保兑行可以拒绝偿付，因此选项D正确。

正确答案：[ABCD]",信用证未明示可议付，任何银行不得办理议付,"保兑行对以其为议付行的信用证加具保兑，在受益人请求议付时，须承担对受益人相符交
单的议付责任",指定议付 行非保兑行且未议付时，保兑行仅承担对受益人相符交单的付款责任,保兑行议付时，对受益人不具有追索权，受益人存在信用证欺诈的情形除外,True
